state,Area Name-Legal/Statistical Area,Metro,Total Population 1990,2000 Total Population:,2010 Total Population:,pernhwhite1990,pernhwhite2000,pernhwhite2010,pernhblack1990,pernhblack2000,pernhblack2010,perhispanic1990,perhispanic2000,perhispanic2010,Place-FIPS,FIPS with state,Median HHI 2012,Metro HHI 2012,Higher than metro HHI?,Change white 1990-2010,change black 1990-2010
MO,Glasgow Village CDP,St. Louis,"5,199","5,243","5,429",94.21,56.32,15.27,4.79,40.87,81.53,0.67,1.11,0.94,27226,2927226,31991,54109,No,-84%,1602%
IL,Cahokia village,St. Louis,"17,550","16,391","15,241",92.25,57.12,33.63,4.84,38.43,62.04,1.79,2.25,1.96,10370,1710370,31892,54109,No,-64%,1182%
MO,Bellefontaine Neighbors city,St. Louis,"10,922","11,248","10,860",90.85,53.55,25.51,7.98,44.23,72.5,0.79,0.68,0.5,4222,2904222,42434,54109,No,-72%,809%
MO,Dellwood city,St. Louis,"5,245","5,209","5,025",89.74,39.45,17.79,8.87,58.04,78.95,0.78,0.35,0.8,19018,2919018,46371,54109,No,-80%,790%
AL,Midfield city,Birmingham,"5,559","5,610","5,365",88.97,39.21,15.75,9.97,59.49,81.53,0.18,0.14,1.44,48376,148376,41865,48420,No,-82%,718%
PA,Sharon Hill borough,Philadelphia,"5,771","5,469","5,697",90.64,70.44,31.63,7.59,24.71,59.51,1.07,1.06,3.21,69752,4269752,54121,61927,No,-65%,684%
GA,Irondale CDP,Atlanta,"3,352","7,727","7,446",88.63,45.06,13.94,7.43,46.6,57.35,1.91,4.18,25.25,41347,1341347,48990,57470,No,-84%,672%
IL,South Holland village,Chicago,"22,105","22,268","22,030",84.54,43.47,18.26,11.5,50.71,73.82,2.05,3.77,5.78,70850,1770850,64285,61367,Yes,-78%,542%
GA,Austell city,Atlanta,"4,173","5,372","6,581",89.12,60.83,29.36,9.06,25.55,54.6,0.89,11.1,11.88,4252,1304252,43031,57470,No,-67%,503%
GA,Stockbridge city,Atlanta,"3,359","10,726","25,636",88.06,70.98,24.96,9.17,19.09,54.61,0.98,4.02,9.55,73704,1373704,55783,57470,No,-72%,496%
MD,Accokeek CDP,Washington,"4,477","7,694","10,573",83.52,43.57,23.53,11.75,46.04,63.43,1.88,2.3,4.7,250,2400250,123700,89826,Yes,-72%,440%
OH,Maple Heights city,Cleveland,"27,089","26,089","23,138",83.42,51.18,27.54,14.62,44.12,67.78,0.7,1.21,1.54,47306,3947306,38358,48952,No,-67%,364%
MO,Spanish Lake CDP,St. Louis,"20,322","21,337","19,650",80.59,41.87,19.38,17.4,54.54,76.56,1,1.03,1.24,69266,2969266,32240,54109,No,-76%,340%
MD,Marlton CDP,Washington,"5,523","7,798","9,031",76.7,37.88,12.42,18.83,55.28,79.58,2.7,2.42,2.59,50775,2450775,103638,89826,Yes,-84%,323%
IL,Lynwood village,Chicago,"6,535","8,021","9,007",79.14,50.69,25.15,15.49,42.03,65.35,4.35,4.7,7.29,45421,1745421,53944,61367,No,-68%,322%
AL,Forestdale CDP,Birmingham,"10,395","10,542","10,162",81.39,52.47,25.9,17.99,46.04,71.29,0.3,0.45,1.4,27088,127088,53938,48420,Yes,-68%,296%
FL,Pembroke Park town,Fort Lauderdale,"4,933","4,810","6,102",74.21,41.06,24.89,13.6,40.36,53.29,11.29,15.17,18.11,55750,1255750,31044,48582,No,-66%,292%
FL,North Lauderdale city,Fort Lauderdale,"26,506","38,525","41,023",70.87,37.66,16.1,13.83,31.35,52,12.14,23.2,25.79,49425,1249425,41784,48582,No,-77%,276%
IL,Richton Park village,Chicago,"10,523","12,594","13,646",72.71,33.88,11.31,21.99,58.7,81.75,3.34,3.89,3.5,63706,1763706,60516,61367,No,-84%,272%
TX,Cedar Hill city,Dallas,"19,976","32,094","45,028",75.95,50.86,25.77,13.94,33.42,51.4,8.07,11.9,18.67,13492,4813492,66659,58190,Yes,-66%,269%
MD,Waldorf CDP,Washington,"15,058","57,357","67,752",81.33,61.19,33.21,14.43,29.96,52.48,1.88,3.13,5.86,81175,2481175,85751,89826,No,-59%,264%
LA,Monticello CDP,Baton Rouge,"4,710","4,763","5,172",73.86,33.09,13.36,23.25,63.74,83.04,1.72,1.32,1.64,51645,2251645,55771,51383,Yes,-82%,257%
IL,Sauk Village village,Chicago,"9,926","10,240","10,506",71.51,53.27,23.76,17.66,31.95,61.97,9.71,11.8,11.15,67769,1767769,50841,61367,No,-67%,251%
GA,Riverdale city,Atlanta,"9,359","12,667","15,134",69.67,18.45,6.07,23.46,66.84,79.07,2.17,4.82,5.98,65464,1365464,38853,57470,No,-91%,237%
OH,Euclid city,Cleveland,"54,875","52,675","48,920",82.29,65.78,43.13,15.89,30.42,52.17,0.83,1.15,1.57,25704,3925704,37143,48952,No,-48%,228%
TX,DeSoto city,Dallas,"30,544","37,753","49,047",72.78,44.58,17.42,20.78,45.39,67.97,4.98,7.35,12.06,20092,4820092,58957,58190,Yes,-76%,227%
GA,Stone Mountain city,Atlanta,"6,494","7,162","5,802",71.53,23.12,15.24,23.01,68.06,74.35,2.31,4.08,5.31,73816,1373816,48304,57470,No,-79%,223%
MD,Rosaryville CDP,Washington,"8,976","8,664","10,697",68.11,31.95,11.21,26.41,60.4,80.98,2.26,2,2.98,68300,2468300,118159,89826,Yes,-84%,207%
FL,Pine Hills CDP,Orlando,"35,322","58,190","60,076",67.44,28.07,12.97,21.75,49.75,65.99,8.37,14.07,13.86,56825,1256825,36968,49263,No,-81%,203%
IL,Calumet City city,Chicago,"37,840","38,980","37,042",69.37,34.38,13.3,23.52,52.51,69.89,6.41,10.86,15.05,10487,1710487,41244,61367,No,-81%,197%
MD,Brandywine CDP,Washington,"1,406","3,786","6,719",71.62,52.58,19.15,24.75,41.41,71.62,1.35,2.24,4.39,9325,2409325,111899,89826,Yes,-73%,189%
GA,Douglasville city,Atlanta,"11,635","19,917","30,961",78.13,62.41,33.37,19.26,29.84,55.01,1.31,3.87,7.24,23900,1323900,48378,57470,No,-57%,186%
MD,Glenn Dale CDP,Washington,"9,689","11,546","13,466",68.94,42.39,23.71,20.78,44.21,58.97,2.77,2.39,7.8,33400,2433400,103115,89826,Yes,-66%,184%
